Test,Animal,Treatment,Sex,APOE,Code,Stage,age,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
50,200331_7,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR_2,5,4.9,0.441441441,19,4.9,0,1.4,0,5,6.2,0.558558559,0,6.2,0,4.2,0,15,72.1,2.082,2.9,0.028,44.7,29.9,50.2,26.1,14,12.3,0.338,0,0.062,5.5,0,0,4,12.9,34.1,0.6,2,2.1,104.8,0,,,2.42,26.1
51,200331_10,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR_2,3,6.1,0.772151899,0.8,2.7,3.4,2.1,0,4,1.8,0.227848101,13.5,1.8,0,0.9,0,14,82.1,2.81,3.7,0.033,51.2,35.1,60.9,14,12,14.6,0.466,0,0.03,9.7,5.6,0,3,4.8,103.9,0,3,11,111.1,0,,,3.276,14
52,200331_9,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR,4,6.4,0.385542169,0.2,3.2,3.2,3.3,0,5,10.2,0.614457831,104.5,7,3.2,5.3,2.7,12,73.2,3.175,5.3,0.04,46.4,32.8,56.4,25.7,11,18.8,0.4,0,0.04,10,0,0,4,4.8,,0,7,4.5,91.9,0,25.3,22,3.575,25.7
53,200331_12,APOE22M,M,APOE2/2,B,Dilutions,old,2,2Objects_NOR,3,2.7,0.397058824,18.1,2.7,0,0.6,0,4,4.1,0.602941177,15.3,4.1,0,1.1,0,11,97.1,2.236,1.2,0.023,38.6,60.4,41.5,48.1,4,3.4,0.248,0,0.084,2.9,0,0,3,1.1,,0,1,0.6,,0,6.9,8.4,2.484,48.1
54,200331_13,APOE22M,M,APOE2/2,B,Dilutions,old,2,2Objects_NOR,4,3.3,0.428571429,1.5,3.3,0,1.8,0,4,4.4,0.571428571,2.1,2,2.3,3.3,1.3,25,85,3.514,3.4,0.038,66.4,25.7,69.4,15.1,7,5.6,0.175,0,0.058,3,0,0,4,3.1,,0,4,3.3,,0,12.2,16.6,3.689,15.1
55,200331_11,APOE22M,M,APOE2/2,B,Dilutions,old,2,2Objects_NOR_2,4,6.1,0.5,9.6,3.5,2.5,0.9,0,8,6.1,0.5,25,6.1,0,2.2,0.5,16,80.3,3.151,3,0.035,51.6,37.5,60.1,30.3,10,10.5,0.378,0,0.044,8.5,0,0,3,0.9,,0,4,2.8,,0,,,3.529,30.3
64,200331_1,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR,1,0.1,0.2,2.5,0.1,0,0,0,1,0.4,0.8,0,0.4,0,0.3,0,18,92.1,2.274,6.1,0.022,38.8,65.4,42.5,31.1,1,3.3,0.196,0,0.053,3.7,0,0,2,5,,0,0,0,,0,22.3,21.7,2.47,31.1
65,200331_2,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR_2,3,3.9,0.928571429,0.2,3.9,0,3.4,0,1,0.3,0.071428571,1.6,0.3,0,0.3,0,9,99.5,3.289,5.5,0.032,54.3,49.3,59,19.9,2,5.6,0.255,0,0.054,4.7,0,0,1,1,,0,1,3.2,61.3,0,,,3.544,19.9
66,200331_4,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR,3,1.8,0.818181818,1.5,1.8,0,0.4,0,1,0.4,0.181818182,83.3,0.4,0,0,0,8,104.7,2.848,6.3,0.026,40.9,67.3,51.6,61.7,2,9.2,0.295,0,0.028,10.7,0,0,1,0.4,,0,3,1.9,,0,15,18.5,3.143,61.7
67,200331_3,APOE22F,F,APOE2/2,A,Dilutions,old,3,2Objects_NOR_2,1,2.5,0.757575758,100.8,2.5,0,1.1,0,1,0.8,0.242424242,85.8,0.8,0,0.2,0,11,102.8,1.959,0.8,0.019,24.8,80.8,29.6,69.3,4,3.9,0.358,0,0.075,4.8,0,0,2,1.2,,0,3,1.8,,0,,,2.317,69.3
