Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
13,190715_3,APOE3/3M,M,APOE3/3,B,Dilutions,1,2Objects_NOR_2,3,1.8,0.382978723,22,1.8,0,0.9,0,3,2.9,0.617021277,2.5,2.9,0,0.2,0,27,85.9,5.006,0.9,0.055,64.6,26.2,69.6,0,5,9.5,0.305,49.2,0.061,5,0,0,4,2.6,,0,3,3.4,,0,,,5.311,0
14,190715_4,HNf,F,HN,C,Dilutions,1,2Objects_NOR_2,4,2.3,0.283950617,0.6,2.3,0,0.9,0,5,5.8,0.716049383,9.9,5.8,0,3.7,0,20,86.3,4.845,1.1,0.052,61.5,31.8,66,16.9,10,9.8,0.239,0,0.053,4.5,0,0,6,4.7,,0,3,4.2,,0,,,5.084,16.9
15,190715_5,APOE2/2M,M,APOE2/2,A,Dilutions,1,2Objects_NOR_2,5,4.7,0.439252336,12,4.7,0,0.7,0,5,6,0.560747664,1,6,0,2.9,0,25,70.9,3.912,10.9,0.056,66.2,3.8,77.2,0,9,19.8,0.362,0.6,0.03,11,1.1,0,4,6.8,105.8,0,2,2.9,,0,,,4.274,0
16,190715_6,APOE2/2M,M,APOE2/2,A,Dilutions,1,2Objects_NOR_2,6,7.4,0.770833333,7.1,7.1,0.4,2.7,0,5,2.2,0.229166667,0,2.2,0,0.8,0,22,71.6,2.569,4.5,0.049,46.6,6.1,66.2,0.4,9,23,1.024,0,0.052,19.6,0,0,5,14,6.6,0,5,4.1,2.1,0,,,3.593,0.4
17,190715_7,APOE2/2F,F,APOE2/2,D,Dilutions,1,2Objects_NOR_2,4,5.2,0.485981308,11.3,5.2,0,1.9,0,7,5.5,0.514018692,3.4,5.5,0,2.2,0,28,66.4,3.425,6.1,0.057,57.6,2.2,71.4,0,13,23.4,0.812,0,0.059,13.8,0,0,5,7.6,79.8,0.1,5,5.9,85.5,0,,,4.237,0
18,190715_8,APOE2/2F,F,APOE2/2,D,Dilutions,1,2Objects_NOR_2,5,8,0.465116279,2.7,5.9,2,2.6,0,8,9.2,0.534883721,14,7.2,2,7.1,0,18,57,5.083,11.6,0.081,60.4,2,78.5,0,16,25.6,0.739,0,0.035,18.1,2.8,0,5,7.7,92.9,0,4,11.9,73.6,0,,,5.822,0
19,190715_9,APOE2/2M,M,APOE2/2,A,Dilutions,1,2Objects_NOR_2,3,4.8,0.277456647,24.3,2.3,2.6,2.6,0,7,12.5,0.722543353,0,12.5,0,4.4,0,21,68.5,4.11,10.2,0.059,66.6,2.5,80.2,0,14,19.6,0.611,0,0.045,13.6,0,0,6,7,,0,6,7.5,8.8,0,,,4.721,0
20,190715_10,APOE2/2M,M,APOE2/2,A,Dilutions,1,2Objects_NOR_2,4,6.1,0.426573427,83.1,3.3,2.8,1.5,0,7,8.2,0.573426573,0,6.2,2,6,0,32,62.7,5.213,4.7,0.09,58.1,0,71.9,0,22,19.5,1.014,0,0.064,13.8,2,0,12,11,51.6,0,8,5.9,90,0,,,6.227,0
21,190715_1,APOE3/3M,M,APOE3/3,B,Dilutions,2,2Objects_NOR_2,3,4.5,0.473684211,9,2.3,2.2,1.7,0,4,5,0.52631579,1.9,5,0,1.6,0,29,57.5,2.188,6.4,0.042,43.4,8.6,60.5,0,17,25.5,1.889,0,0.098,17.1,2.2,0,11,8.6,67.6,0,11,7.6,69.5,0,,,4.077,0
22,190715_2,APOE3/3M,M,APOE3/3,B,Dilutions,2,2Objects_NOR_2,3,4.5,0.384615385,79.6,4.5,0,2,0,7,7.2,0.615384615,21.3,7.2,0,3.5,0,21,70,4.65,0,0.062,64.6,10.5,82.8,0,13,23.5,1.244,43,0.068,18.2,0,0,5,5.1,,0,8,9.7,57.1,0.1,,,5.894,0
23,190715_3,APOE3/3M,M,APOE3/3,B,Dilutions,2,2Objects_NOR_2,2,2.3,0.575,9,0.5,1.8,0,0,2,1.7,0.425,5.5,1.7,0,1.2,0,12,82.5,1.928,13.9,0.019,26.8,76.8,36.6,42.4,1,8.4,0.312,0,0.032,9.8,0,0,0,0,,0,1,0.7,,0,,,2.24,42.4
24,190715_4,HNf,F,HN,C,Dilutions,2,2Objects_NOR_2,0,0,0,,0,0,0,0,1,0.2,1,44.6,0.2,0,0.1,0,24,104.8,1.702,0.2,0.015,32.1,81.8,35.5,67,1,3.6,0.102,60.3,0.03,3.4,0,0,1,0.5,,0,2,3.4,60.1,0,,,1.804,67
